"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"Autauga County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,546","23.3%","33.0%","37.2%","6.4%","33,884","4.9%","9.7%","35.2%","21.9%","6.5%","14.7%","7.1%","85.3%","21.7%","6,370","87.5%","22.3%","8,269","89.2%","23.9%","13,185","86.8%","24.1%","6,060","74.7%","13.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,254","28.6%","37.7%","30.4%","3.2%","16,047","5.1%","9.4%","34.4%","22.6%","5.0%","15.3%","8.2%","85.5%","23.5%","3,064","86.3%","19.5%","3,975","88.7%","26.2%","6,442","85.7%","25.7%","2,566","79.3%","18.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,292","18.2%","28.4%","43.8%","9.6%","17,837","4.8%","10.1%","36.0%","21.3%","7.7%","14.1%","6.0%","85.2%","20.2%","3,306","88.5%","24.9%","4,294","89.6%","21.8%","6,743","87.8%","22.6%","3,494","71.3%","8.8%"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,257","21.0%","37.3%","34.9%","6.9%","121,560","3.9%","8.5%","29.9%","23.2%","7.6%","18.1%","8.7%","87.6%","26.8%","19,930","87.7%","25.7%","23,424","89.3%","28.5%","49,216","88.9%","28.3%","28,990","83.9%","23.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,825","25.3%","40.4%","28.4%","5.9%","58,269","4.3%","9.5%","29.4%","22.3%","5.9%","19.8%","8.9%","86.2%","28.7%","9,911","85.5%","21.1%","11,444","87.0%","26.3%","23,471","86.3%","31.4%","13,443","86.0%","31.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,432","16.3%","33.9%","41.9%","7.9%","63,291","3.5%","7.7%","30.4%","24.1%","9.2%","16.6%","8.5%","88.8%","25.1%","10,019","89.8%","30.2%","11,980","91.6%","30.7%","25,745","91.2%","25.5%","15,547","82.1%","16.9%"
"Barbour County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,590","32.3%","43.7%","23.1%","0.9%","18,879","9.0%","19.2%","35.4%","16.0%","7.0%","7.5%","6.0%","71.9%","13.5%","3,748","72.8%","8.9%","3,840","78.3%","14.2%","7,485","74.4%","15.0%","3,806","59.5%","14.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,524","35.7%","44.4%","18.7%","1.2%","9,942","8.5%","21.0%","36.1%","16.6%","5.2%","6.9%","5.7%","70.5%","12.6%","2,267","67.7%","6.0%","2,243","75.8%","7.0%","3,825","72.9%","17.3%","1,607","61.3%","18.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,066","27.4%","42.9%","29.4%","0.4%","8,937","9.5%","17.2%","34.6%","15.3%","9.0%","8.2%","6.3%","73.4%","14.5%","1,481","80.6%","13.4%","1,597","81.7%","24.2%","3,660","75.9%","12.7%","2,199","58.2%","11.2%"
"Bibb County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,230","26.6%","41.7%","28.7%","3.0%","15,082","9.8%","15.7%","42.3%","16.9%","5.4%","7.5%","2.6%","74.5%","10.0%","2,754","82.2%","13.1%","3,604","83.0%","10.6%","5,912","72.2%","8.5%","2,812","61.1%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,298","39.5%","47.2%","10.6%","2.6%","7,911","10.4%","16.6%","43.7%","13.4%","5.6%","8.4%","1.8%","73.0%","10.2%","1,463","80.2%","10.9%","2,113","79.7%","10.0%","3,151","70.1%","8.3%","1,184","59.6%","14.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","932","8.7%","34.0%","53.8%","3.5%","7,171","9.0%","14.7%","40.8%","20.6%","5.1%","6.5%","3.3%","76.3%","9.8%","1,291","84.4%","15.6%","1,491","87.7%","11.3%","2,761","74.6%","8.9%","1,628","62.2%","5.5%"
"Blount County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,559","22.4%","39.0%","37.6%","1.0%","38,085","9.4%","15.9%","36.4%","19.5%","6.2%","8.4%","4.2%","74.7%","12.5%","6,932","74.2%","11.8%","8,080","80.3%","14.3%","15,019","77.5%","14.0%","8,054","64.1%","8.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,315","26.3%","41.0%","30.8%","1.8%","18,447","9.9%","16.0%","37.1%","19.5%","4.6%","9.0%","3.8%","74.1%","12.8%","3,544","70.5%","13.0%","4,110","80.0%","11.8%","7,290","76.5%","15.3%","3,503","65.5%","8.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,244","18.3%","36.9%","44.6%","0.3%","19,638","8.9%","15.8%","35.8%","19.4%","7.7%","7.7%","4.5%","75.2%","12.2%","3,388","78.1%","10.5%","3,970","80.6%","16.9%","7,729","78.4%","12.9%","4,551","63.0%","8.3%"
"Bullock County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,126","47.5%","22.5%","30.0%","0.0%","7,301","10.9%","14.4%","36.6%","20.2%","5.9%","8.3%","3.7%","74.7%","12.0%","1,313","67.7%","17.4%","1,433","90.2%","7.1%","3,227","78.7%","13.1%","1,328","55.1%","9.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","719","58.1%","12.4%","29.5%","0.0%","3,781","9.2%","15.0%","41.1%","21.4%","3.7%","7.4%","2.2%","75.8%","9.6%","604","67.4%","5.8%","789","92.5%","2.2%","1,905","74.3%","12.7%","483","65.2%","14.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407","28.7%","40.3%","31.0%","0.0%","3,520","12.8%","13.7%","31.7%","19.0%","8.2%","9.3%","5.3%","73.5%","14.6%","709","68.0%","27.2%","644","87.4%","13.2%","1,322","85.0%","13.8%","845","49.3%","6.4%"
"Butler County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,769","28.5%","39.9%","29.7%","1.9%","14,039","8.1%","17.1%","38.7%","17.2%","7.9%","7.8%","3.2%","74.8%","11.0%","2,449","78.7%","12.1%","2,439","80.9%","15.4%","5,729","81.6%","10.3%","3,422","56.3%","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
