"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"Autauga County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,689","21.1%","37.7%","36.8%","4.4%","36,233","4.4%","9.4%","33.5%","22.9%","7.8%","13.6%","8.3%","86.2%","21.9%","6,696","89.0%","24.3%","7,885","90.2%","22.0%","14,331","86.3%","25.2%","7,321","79.1%","13.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,375","20.2%","38.8%","37.3%","3.7%","17,221","4.8%","9.6%","32.0%","22.8%","6.9%","14.6%","9.4%","85.6%","23.9%","3,259","87.5%","22.3%","3,794","90.2%","26.2%","7,073","84.3%","24.9%","3,095","81.0%","20.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,314","22.1%","36.6%","36.2%","5.1%","19,012","4.0%","9.3%","34.8%","23.0%","8.7%","12.7%","7.4%","86.7%","20.1%","3,437","90.4%","26.3%","4,091","90.1%","18.0%","7,258","88.2%","25.5%","4,226","77.7%","8.0%"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,752","20.7%","32.3%","38.4%","8.5%","133,267","3.6%","7.3%","28.8%","22.9%","8.7%","19.1%","9.5%","89.0%","28.6%","21,850","86.6%","27.9%","24,316","89.9%","28.8%","53,319","91.4%","28.8%","33,782","86.3%","28.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,544","24.4%","35.4%","31.0%","9.2%","63,815","4.7%","7.7%","30.6%","21.1%","7.0%","19.8%","9.1%","87.6%","28.9%","10,915","82.0%","24.1%","11,810","87.4%","23.8%","25,416","89.9%","28.4%","15,674","88.0%","36.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,208","16.9%","29.1%","46.1%","7.9%","69,452","2.7%","7.0%","27.2%","24.4%","10.3%","18.5%","9.9%","90.3%","28.4%","10,935","91.3%","31.7%","12,506","92.3%","33.6%","27,903","92.7%","29.2%","18,108","84.7%","21.5%"
"Barbour County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,421","24.3%","35.7%","37.1%","2.9%","18,836","9.1%","16.4%","33.4%","20.5%","7.1%","7.9%","5.7%","74.6%","13.6%","3,850","72.7%","11.4%","3,415","77.9%","14.3%","7,391","80.3%","13.7%","4,180","63.5%","15.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,464","32.9%","32.3%","31.8%","3.0%","10,046","9.4%","19.0%","34.2%","19.5%","5.0%","8.0%","4.9%","71.6%","12.9%","2,342","67.8%","11.4%","2,046","72.9%","8.5%","3,857","75.3%","12.3%","1,801","67.1%","21.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","957","11.1%","40.9%","45.4%","2.7%","8,790","8.6%","13.4%","32.6%","21.5%","9.5%","7.7%","6.7%","78.0%","14.4%","1,508","80.3%","11.3%","1,369","85.4%","22.9%","3,534","85.7%","15.2%","2,379","60.7%","10.3%"
"Bibb County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,067","27.0%","33.2%","38.2%","1.6%","15,683","9.0%","13.1%","40.1%","21.5%","6.1%","5.8%","4.4%","77.9%","10.2%","3,106","79.5%","12.2%","3,050","81.7%","13.3%","6,318","82.7%","9.8%","3,209","63.3%","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,133","29.7%","37.8%","32.5%","0.1%","8,390","10.6%","13.9%","39.2%","21.7%","5.3%","5.8%","3.5%","75.5%","9.2%","1,869","73.4%","12.5%","1,741","78.4%","11.5%","3,336","80.4%","6.5%","1,444","63.4%","8.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","934","23.8%","27.7%","45.1%","3.4%","7,293","7.2%","12.2%","41.0%","21.1%","7.1%","5.9%","5.5%","80.7%","11.4%","1,237","88.8%","11.8%","1,309","86.0%","15.7%","2,982","85.3%","13.4%","1,765","63.2%","4.5%"
"Blount County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,716","24.3%","34.6%","38.7%","2.4%","39,052","7.5%","14.5%","34.5%","22.3%","9.0%","8.1%","4.1%","78.1%","12.3%","6,736","81.2%","11.8%","7,557","78.5%","11.6%","15,587","81.4%","13.2%","9,172","69.7%","11.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,446","24.4%","35.4%","37.0%","3.2%","18,979","8.2%","15.6%","35.8%","21.1%","7.8%","8.4%","3.1%","76.2%","11.5%","3,420","80.5%","9.6%","3,768","74.6%","7.5%","7,705","79.6%","13.3%","4,086","67.7%","13.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,270","24.1%","33.7%","40.6%","1.6%","20,073","6.7%","13.4%","33.3%","23.4%","10.2%","7.8%","5.1%","79.8%","12.9%","3,316","81.9%","14.1%","3,789","82.4%","15.8%","7,882","83.3%","13.1%","5,086","71.2%","9.9%"
"Bullock County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,127","20.0%","53.8%","26.3%","0.0%","7,283","13.9%","20.6%","32.3%","15.3%","3.8%","5.9%","8.2%","65.5%","14.1%","1,347","60.4%","11.1%","1,493","71.5%","14.3%","2,914","69.0%","17.2%","1,529","57.6%","10.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","632","26.6%","54.4%","19.0%","0.0%","3,943","13.8%","21.0%","36.1%","16.5%","1.8%","3.9%","6.9%","65.2%","10.8%","752","62.2%","1.9%","903","66.9%","5.1%","1,649","65.1%","15.9%","639","66.4%","16.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495","11.5%","52.9%","35.6%","0.0%","3,340","14.0%","20.1%","27.9%","13.9%","6.2%","8.3%","9.6%","65.9%","17.9%","595","58.2%","22.7%","590","78.5%","28.3%","1,265","74.0%","18.8%","890","51.3%","6.6%"
"Butler County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
